Nome,ID,Data Aproximação,Diâmetro Min (km),Diâmetro Max (km),Velocidade Relativa (km/s),Distância Passagem (km),Potencialmente Perigoso
(2024 QC5),54469538,2024-09-02,0.0763404959,0.1707025382,5.0748786778,31934728.652124203,False
(2024 RR8),54469533,2024-09-02,0.0057194593,0.0127890999,14.5587507344,376871.456999887,False
(2024 RW9),54469550,2024-09-02,0.0271615767,0.0607351319,29.0154158102,6380646.959979809,False
(2024 RU13),54471037,2024-09-02,0.0575380284,0.1286589429,9.5436355381,12110829.590581733,False
(2015 HW10),3717054,2024-09-03,0.0192555078,0.0430566244,8.6422947938,41536509.902884335,False
(2016 AF193),3740494,2024-09-03,0.1108038821,0.2477650126,10.8907084526,54070748.484176609,False
(2016 SN2),3759745,2024-09-03,0.1756123185,0.3926810818,20.7529488432,29051963.006713369,False
(2018 CJ2),3799276,2024-09-03,0.02658,0.0594346868,19.8177921666,74676307.666228903,False
(2021 QH2),54190788,2024-09-03,0.0259749653,0.0580817882,7.2959476111,24234464.325001643,False
(2021 RL10),54195870,2024-09-03,0.052547853,0.1175005715,12.4049125432,64853384.740441675,False
(2022 CT),54244535,2024-09-03,0.0189913123,0.0424658654,20.9810776696,41333688.835725298,False
(2023 HJ2),54354858,2024-09-03,0.0088420909,0.0197715164,11.691850955,46305856.27651684,False
(2024 NC4),54465199,2024-09-03,0.1016611403,0.2273212203,5.1094589773,52677625.814654896,False
(2024 PJ1),54465521,2024-09-03,0.0325502986,0.0727846803,5.2996190777,9509713.859631357,False
(2024 QV1),54467485,2024-09-03,0.0296315914,0.0662582527,13.3042224934,2100021.613533925,False
(2024 RL1),54467973,2024-09-03,0.0242300872,0.054180122,10.4275937891,7621910.183782223,False
(2024 RR1),54467980,2024-09-03,0.0200334145,0.0447960766,8.7311171117,2522950.42500134,False
(2024 RS1),54467981,2024-09-03,0.0148441378,0.0331925011,14.1694028598,902035.722101468,False
(2024 QT3),54468771,2024-09-03,0.073106329,0.1634707212,18.8170324371,45889695.422286095,False
(2024 RA5),54468796,2024-09-03,0.0044152467,0.0098727918,3.1305598765,2583613.438391004,False
(2024 RG10),54470170,2024-09-03,0.0472884388,0.1057401638,12.6749778906,1952855.83090545,False
(2024 RL15),54471054,2024-09-03,0.0820644336,0.1835016522,10.4575345928,50926612.411562517,False
(2008 RR24),3426808,2024-09-04,0.1529519353,0.3420109247,23.2964215968,24553653.745528208,False
(2016 YR8),3766182,2024-09-04,0.4212646106,0.9419763057,16.0630948686,60852867.627606964,False
(2019 OH1),3843359,2024-09-04,0.0806408277,0.1803183724,8.1844263589,43863799.658055679,False
(2019 RF2),3843818,2024-09-04,0.0127219879,0.0284472297,19.6406267281,67914226.215018467,False
(2020 HQ7),54016786,2024-09-04,0.0160160338,0.0358129403,7.1259297468,63638281.112734468,False
(2020 OF1),54048885,2024-09-04,0.0319561887,0.0714562102,18.165244716,55043000.105812118,False
(2020 SX),54054456,2024-09-04,0.058150704,0.130028927,3.4461949588,55173564.414415213,False
(2021 FE3),54132973,2024-09-04,0.0391340663,0.0875064325,8.4242031308,70371092.96277048,False
(2021 QA2),54190783,2024-09-04,0.0413575665,0.0924783301,18.0732959027,30024574.740341542,False
(2021 RS2),54192748,2024-09-04,0.0022623249,0.0050587123,18.3044662772,9880690.966076013,False
(2022 FV4),54268432,2024-09-04,0.0437074004,0.0977327184,18.9141429733,35604341.604508815,False
(2024 OW),54465218,2024-09-04,0.0772600485,0.1727587205,7.8076424931,13185603.669365003,False
(2024 QU),54467167,2024-09-04,0.0280643493,0.0627537927,6.4096056021,4544554.181462095,False
(2024 QE2),54467561,2024-09-04,0.0086050813,0.0192415467,8.2335010347,747213.670084263,False
(2024 RB),54467566,2024-09-04,0.0082405268,0.0184263781,11.3530153303,1181957.242611094,False
(2024 RW2),54468519,2024-09-04,0.0205094955,0.045860626,8.2825195201,1672500.506492398,False
(2024 RZ2),54468518,2024-09-04,0.0051351718,0.0114825932,7.4011111031,260516.238325345,False
(2024 RL3),54468529,2024-09-04,0.0040509322,0.0090581598,8.0814503163,40843.704140371,False
(2024 RS3),54468764,2024-09-04,0.0153728708,0.0343747841,10.1061165891,8784841.988160753,False
(2024 RE5),54468800,2024-09-04,0.0296725573,0.0663498551,7.6149904181,15672397.859964978,False
(2024 RJ8),54469528,2024-09-04,0.0854978073,0.1911789089,17.2816084198,35240108.833797156,False
